[Connect DataFile][1.1]
Date:;04/06/2025
Time:;14:48:53,583
Unit:;°C
Resolution:;0,05
Values:;5
Time;Head;1;2;3;4;
00:00:16,150;426,5;466,9;483,1;490,1;515,9;
00:00:16,200;426,5;466,9;483,1;490,1;515,9;
00:00:16,250;426,5;466,9;483,1;490,1;515,9;
00:00:16,300;426,5;466,9;483,1;490,1;515,9;
00:00:16,350;426,5;466,9;483,1;490,1;515,9;
00:00:16,400;426,5;466,9;483,1;490,1;515,9;
00:00:16,450;426,5;466,9;483,1;490,1;515,9;
00:00:16,500;459,9;468,1;467,3;478,0;496,2;
00:00:16,550;426,5;466,9;483,1;490,1;515,9;
00:00:16,600;426,5;466,9;483,1;490,1;515,9;
00:00:16,650;426,5;466,9;483,1;490,1;515,9;
00:00:16,700;426,5;466,9;483,1;490,1;515,9;
00:00:16,750;426,5;466,9;483,1;490,1;515,9;
00:00:16,800;426,5;466,9;483,1;490,1;515,9;
00:00:16,850;426,5;466,9;483,1;490,1;515,9;
00:00:16,900;426,5;466,9;483,1;490,1;515,9;
00:00:16,950;426,5;466,9;483,1;490,1;515,9;
00:00:17,000;310,0;453,9;463,8;481,0;510,6;
00:00:17,050;312,7;461,2;473,9;483,5;492,8;
00:00:17,100;197,5;458,9;473,2;473,6;501,8;
00:00:17,150;297,7;451,7;475,1;472,9;500,7;
00:00:17,200;297,7;451,7;475,1;472,9;500,7;
00:00:17,250;285,7;461,5;488,4;484,8;508,6;
00:00:17,300;170,7;460,8;474,4;467,5;495,7;
00:00:17,350;240,3;461,8;475,7;477,3;507,7;
00:00:17,400;309,9;462,7;476,9;487,0;519,6;
00:00:17,450;309,9;462,7;476,9;487,0;519,6;
00:00:17,500;297,2;463,5;473,0;490,3;518,0;
00:00:17,550;288,8;458,8;468,0;486,9;511,8;
00:00:17,600;306,4;453,9;463,3;480,6;508,0;
00:00:17,650;281,1;454,4;475,2;488,4;515,8;
00:00:17,700;281,1;454,4;475,2;488,4;515,8;
00:00:17,750;280,6;455,7;475,1;473,3;500,8;
00:00:17,800;304,9;442,8;467,6;468,4;494,6;
00:00:17,850;301,2;455,2;484,6;483,4;506,5;
00:00:17,900;204,7;463,3;479,7;472,1;495,5;
00:00:17,950;204,7;463,3;479,7;472,1;495,5;
00:00:18,000;307,3;457,7;474,6;483,4;515,9;
00:00:18,050;240,6;458,6;467,7;480,4;510,9;
00:00:18,100;173,9;459,5;460,8;477,3;505,8;
00:00:18,150;264,5;458,2;467,8;487,0;510,9;
00:00:18,200;264,5;458,2;467,8;487,0;510,9;
00:00:18,250;296,5;451,7;476,7;489,8;515,6;
00:00:18,300;182,5;459,3;474,7;478,2;503,4;
00:00:18,350;243,4;448,9;468,4;470,9;497,0;
00:00:18,400;304,3;438,5;462,0;463,5;490,6;
00:00:18,450;304,3;438,5;462,0;463,5;490,6;
00:00:18,500;289,2;453,0;479,3;478,0;503,4;
00:00:18,550;276,0;458,2;480,9;477,7;505,6;
00:00:18,600;300,3;454,2;474,1;479,3;512,2;
00:00:18,650;302,3;462,2;474,6;488,3;518,6;
00:00:18,700;302,3;462,2;474,6;488,3;518,6;
00:00:18,750;210,0;457,4;465,0;483,1;507,3;
00:00:18,800;296,9;450,7;460,8;478,7;504,7;
00:00:18,850;300,5;444,6;468,7;484,5;511,4;
00:00:18,900;226,1;455,9;478,2;487,0;511,4;
00:00:18,950;226,1;455,9;478,2;487,0;511,4;
00:00:19,000;298,5;437,4;460,6;461,6;488,8;
00:00:19,050;240,1;447,3;464,4;462,0;488,2;
00:00:19,100;181,6;457,2;468,1;462,3;487,5;
00:00:19,150;224,2;456,9;477,7;473,8;499,4;
00:00:19,200;261,7;458,4;474,6;480,0;508,1;
00:00:19,250;299,2;459,8;471,4;486,1;516,7;
00:00:19,300;281,2;467,2;474,9;491,2;518,2;
00:00:19,350;289,5;458,0;466,9;484,0;510,2;
00:00:19,400;297,8;448,7;458,8;476,8;502,1;
00:00:19,450;299,7;442,2;458,2;476,1;504,3;
00:00:19,500;223,0;450,9;468,5;477,2;503,2;
00:00:19,550;256,4;449,1;467,8;467,7;494,0;
00:00:19,600;293,1;437,9;462,1;462,8;489,4;
00:00:19,650;298,4;439,5;467,4;468,1;492,1;
00:00:19,700;230,9;456,0;479,2;475,0;495,5;
00:00:19,750;165,4;455,9;471,5;466,0;492,7;
00:00:19,800;289,7;451,1;472,1;474,7;505,4;
00:00:19,850;298,8;455,0;467,9;481,3;512,5;
00:00:19,900;294,7;461,6;472,1;488,8;517,4;
00:00:19,950;208,1;455,2;459,4;476,6;501,8;
00:00:20,000;290,3;448,4;458,4;476,9;500,2;
00:00:20,050;249,6;450,6;466,3;479,1;502,2;
00:00:20,100;208,8;452,8;474,2;481,2;504,1;
00:00:20,150;188,2;447,6;462,4;463,8;490,1;
00:00:20,200;242,7;442,2;464,6;466,2;490,9;
00:00:20,250;297,2;436,8;466,7;468,5;491,7;
00:00:20,300;276,0;450,6;477,5;477,1;498,2;
00:00:20,350;283,4;449,2;473,1;474,6;501,1;
00:00:20,400;290,8;447,8;468,7;472,0;504,0;
00:00:20,450;297,8;450,5;465,9;476,8;508,6;
00:00:20,500;272,9;459,4;468,4;483,9;510,6;
00:00:20,550;174,4;452,2;456,1;472,4;497,6;
00:00:20,600;277,4;447,7;458,1;477,3;500,2;
00:00:20,650;295,0;440,0;455,3;473,0;499,6;
00:00:20,700;256,2;447,6;471,6;482,1;505,8;
00:00:20,750;158,5;442,3;453,4;460,0;487,6;
00:00:20,800;279,0;438,2;460,3;460,3;486,1;
00:00:20,850;296,8;430,6;456,9;459,4;484,9;
00:00:20,900;238,9;441,1;463,2;462,2;487,9;
00:00:20,950;180,9;451,6;469,4;464,9;490,8;
00:00:21,000;283,1;446,8;469,9;470,1;499,4;
00:00:21,050;285,6;452,5;469,5;477,7;506,3;
00:00:21,100;288,0;458,1;469,1;485,3;513,2;
00:00:21,150;172,1;448,1;449,9;467,8;494,6;
00:00:21,200;233,1;442,3;449,8;467,6;494,7;
00:00:21,250;294,1;436,4;449,6;467,4;494,8;
00:00:21,300;288,3;439,4;465,9;480,2;504,3;
00:00:21,350;287,4;437,3;462,2;469,5;494,5;
00:00:21,400;286,5;435,1;458,5;458,8;484,6;
00:00:21,450;293,1;426,5;450,6;452,9;479,1;
00:00:21,500;273,8;441,4;470,5;470,0;491,1;
00:00:21,550;157,8;448,1;461,6;456,7;482,3;
00:00:21,600;264,1;446,5;470,4;468,1;494,8;
00:00:21,650;291,8;445,4;462,8;472,1;503,1;
00:00:21,700;289,7;452,9;464,2;481,0;509,3;
00:00:21,750;214,9;459,0;458,9;473,8;498,2;
00:00:21,800;241,0;444,3;453,2;472,3;495,0;
00:00:21,850;292,6;436,5;447,0;465,7;491,6;
00:00:21,900;222,3;437,5;449,0;460,7;487,1;
00:00:21,950;152,0;438,5;451,0;455,6;482,6;
00:00:22,000;263,7;438,9;460,2;459,1;484,3;
00:00:22,050;286,4;438,6;464,9;464,4;488,6;
00:00:22,100;309,1;438,3;469,6;469,7;492,8;
00:00:22,150;326,1;450,5;472,5;467,9;490,8;
00:00:22,200;200,7;432,7;436,8;460,2;464,8;
00:00:22,250;357,1;467,6;465,4;489,7;490,7;
00:00:22,300;182,2;463,3;469,3;503,4;488,8;
00:00:22,350;323,9;482,7;481,0;488,2;386,5;
00:00:22,400;465,5;502,1;492,6;472,9;284,1;
00:00:22,450;466,4;485,0;466,6;309,4;154,1;
00:00:22,500;346,3;332,1;219,0;150,3;144,2;
00:00:22,550;144,8;145,5;142,7;141,9;140,0;
00:00:22,600;140,0;141,1;139,5;138,2;137,7;
00:00:22,650;137,5;139,6;137,1;136,6;133,6;
00:00:22,700;136,4;138,4;136,9;135,4;131,8;
00:00:22,750;136,4;138,2;137,1;134,4;132,6;
00:00:22,800;135,7;139,2;137,9;137,9;136,4;
00:00:22,850;137,1;141,4;139,5;141,4;139,2;
00:00:22,900;140,0;146,2;142,8;142,9;140,7;
00:00:22,950;142,9;150,9;146,1;144,4;142,2;
00:00:23,000;152,7;390,7;191,8;149,8;144,4;
00:00:23,050;309,4;438,5;344,2;323,0;308,4;
00:00:23,100;466,0;486,3;496,6;496,1;472,3;
00:00:23,150;472,3;480,6;496,1;498,2;498,8;
00:00:23,200;384,2;474,1;487,6;487,5;496,9;
00:00:23,250;296,1;467,5;479,1;476,7;495,0;
00:00:23,300;389,1;453,3;483,8;480,5;500,9;
00:00:23,350;286,3;450,5;476,4;477,8;501,6;
00:00:23,400;183,4;447,7;469,0;475,0;502,2;
